type,lot,chemin,loc,sha256,symboles,statut
perimetre,7,apps/backend/tests/unit/test_agent_sessions.py,222,463dd121a08816a663e530f2ef2692ff4fee599c05ccce1c89cf2d9283000889,7,todo
perimetre,7,apps/backend/tests/unit/test_agent_tools.py,156,b6f7bbf97b7805f78ac2d1d854ec5f65d3dbd52f1a64b65799a8f6f8a1162d37,4,todo
perimetre,7,apps/backend/tests/unit/test_agent_workspace.py,245,b5c94def718f5cd3ba2b4cb2ea513e2a4a81d752c1263bbc234b23ea97aa831b,15,todo
perimetre,7,apps/backend/tests/unit/test_mcp_auth.py,122,1f274771cb4087e29104e82286f0d301d8a48a7980d1c47d6a64db04aac65334,10,todo
perimetre,7,apps/backend/tests/unit/test_mcp_mount.py,136,ea14346563cf7fcd3878e8b8e21d4e0e6b62ffca4ab0824a59c6f3877146d222,11,todo
perimetre,7,apps/backend/tests/unit/test_mcp_schema_compat.py,50,5a18a770065f766d826d31fabd790a9963094086d3c9344d10cfb72936ca3d9d,2,todo
perimetre,7,apps/backend/tests/unit/test_mcp_tools.py,715,5e6646fa2e9dde24f07ce1cf917ffc1e415d93e905800ff0cf09ef4956011e8c,40,todo
perimetre,7,apps/backend/tests/unit/test_mcp_tools_write.py,1371,a33d4dd85e8074d2b56f3da5aee7da8fdbd2acd985cc22012f97cec729bd0d93,81,todo
perimetre,7,apps/backend/tests/unit/test_workspace_seed_sync.py,53,dee26785c82fd4f40c9a0885d3c489a566851fcebf3be15293095e9a1a9e148c,3,todo
perimetre,6,apps/frontend/src/lib/agent/conversation.ts,225,0ffcd3834fd32fb22467648d9108635dc06e78dcc12ae427728acbdc9df9e252,3,todo
perimetre,6,apps/frontend/src/lib/agent/markdown.ts,165,54e83debb5e1dc01dc8a0e4b43c3307085b0f9ca56e67f37ff4bd0da1af39abc,4,todo
perimetre,6,apps/frontend/src/lib/agent/toolLabels.ts,181,8f99e0817400cc08f7749e90aeda17bde8221251f5e74c89bd778ad69deab624,1,todo
perimetre,6,apps/frontend/src/lib/api/agent.ts,426,4fb8e7dc774539d94e47766b22092bf56da47dc82c270236f858f3e11aec295a,20,todo
perimetre,6,apps/frontend/src/lib/components/chat/AgentMarkdown.svelte,78,a2b29f88e187a16a70097a10b38436991f74ea7b4aae0bdec21f8ae47e1a4887,1,todo
perimetre,6,apps/frontend/src/lib/components/chat/ApprovalCard.svelte,80,da3eb8d730918e6b944c93c8ddc46dcff3fbb730667bf5744aed09e4ccc041c5,1,todo
perimetre,6,apps/frontend/src/lib/components/chat/ChatPanel.svelte,1007,a7f6fe86917562656cfb648fc0cedd4aee17ad17a02757e8e4b2e51aa7b29a64,19,todo
perimetre,6,apps/frontend/src/lib/components/chat/ConsentementGratuit.svelte,84,fe576cf96f9a6b177a96c15f9ad754d4caed6acb56b0deb62cd0e2d89019acee,1,todo
perimetre,6,apps/frontend/src/lib/components/chat/ToolCard.svelte,111,e877845dc00c89578ad2267ded8ab26d9aef66da2586afe4531e18bb518609db,0,todo
perimetre,6,apps/frontend/src/routes/dashboard/agents/+page.svelte,486,3a05f7220681bd4c0c3ecb89c56288e112307d736d809eb87ce857fa89ac57b2,9,todo
perimetre,6,apps/frontend/src/routes/dashboard/chat/+page.svelte,154,1fdbe18f9e9e8a83176e292ad4700a379defc8f015a4c59547f7d387d1816f80,1,todo
perimetre,6,apps/frontend/src/routes/dashboard/chat/[id]/+page.svelte,96,51c9a068da369d10ea79375d4e26609398dc4d864b2026cfc78d1e53294231a5,2,todo
